ID;NUMCENS;Ejercicio;Fecha_Alta_Baja;Estado
169573;207;1971;1970-3-01;Alta
169590;236;1971;1970-5-15;Alta
170084;207;1972;1971-5-15;Alta
170101;236;1972;1971-5-15;Alta
170119;257;1972;1971-5-15;Alta
170470;28;1973;1972-5-15;Alta
170490;52;1973;1972-5-15;Alta
170595;207;1973;1972-5-15;Alta
170609;232;1973;1972-5-15;Alta
170612;236;1973;1972-5-15;Alta
170630;257;1973;1972-5-15;Alta
170703;353;1973;1972-5-15;Alta
170981;28;1974;1973-5-15;Alta
171001;52;1974;1973-5-15;Alta
171106;207;1974;1973-5-15;Alta
171120;232;1974;1973-5-15;Alta
171123;236;1974;1973-5-15;Alta
171124;237;1974;1973-5-15;Alta
171141;257;1974;1973-4-01;Baja
171214;353;1974;1973-5-15;Alta
171388;620;1974;1973-5-15;Alta
171468;1;1975;1974-5-15;Alta
171492;28;1975;1974-4-01;Baja
171495;33;1975;1974-5-15;Alta
171512;52;1975;1974-5-15;Alta
171548;104;1975;1974-5-15;Alta
171563;126;1975;1974-5-15;Alta
171578;144;1975;1974-5-15;Alta
171617;207;1975;1974-5-15;Alta
171631;232;1975;1974-5-15;Alta
171634;236;1975;1974-5-15;Alta
171635;237;1975;1974-5-15;Alta
171652;257;1975;1974-4-01;Baja
171725;353;1975;1974-5-15;Alta
171731;369;1975;1974-5-15;Alta
171899;620;1975;1974-5-15;Alta
171979;1;1976;1975-5-15;Alta
171980;2;1976;1975-5-15;Alta
172003;28;1976;1975-4-01;Baja
172006;33;1976;1975-5-15;Alta
172008;35;1976;1975-5-15;Alta
172023;52;1976;1975-5-15;Alta
172059;104;1976;1975-5-15;Alta
172074;126;1976;1975-4-01;Baja
172089;144;1976;1975-5-15;Alta
172128;207;1976;1975-5-15;Alta
172137;225;1976;1975-5-15;Alta
172142;232;1976;1975-5-15;Alta
172145;236;1976;1975-5-15;Alta
172146;237;1976;1975-5-15;Alta
172163;257;1976;1975-4-01;Baja
172205;311;1976;1975-5-15;Alta
172206;312;1976;1975-5-15;Alta
172236;353;1976;1975-5-15;Alta
172242;369;1976;1975-5-15;Alta
172410;620;1976;1975-4-01;Baja
172490;1;1977;1976-5-15;Alta
172491;2;1977;1976-5-15;Alta
172514;28;1977;1976-4-01;Baja
172515;31;1977;1976-5-15;Alta
172517;33;1977;1976-5-15;Alta
172518;34;1977;1976-5-15;Alta
172519;35;1977;1976-5-15;Alta
172525;42;1977;1976-5-15;Alta
172534;52;1977;1976-5-15;Alta
172545;64;1977;1976-5-15;Alta
172559;88;1977;1976-5-15;Alta
172570;104;1977;1976-4-01;Baja
172580;119;1977;1976-5-15;Alta
172585;126;1977;1976-4-01;Baja
172600;144;1977;1976-5-15;Alta
172639;207;1977;1976-5-15;Alta
172648;225;1977;1976-5-15;Alta
172653;232;1977;1976-5-15;Alta
172656;236;1977;1976-5-15;Alta
172657;237;1977;1976-5-15;Alta
172674;257;1977;1976-4-01;Baja
172680;264;1977;1976-5-15;Alta
172697;285;1977;1976-5-15;Alta
172698;286;1977;1976-5-15;Alta
172716;311;1977;1976-5-15;Alta
172717;312;1977;1976-5-15;Alta
172747;353;1977;1976-4-01;Baja
172753;369;1977;1976-5-15;Alta
172921;620;1977;1976-4-01;Baja
173001;1;1978;1977-5-15;Alta
173002;2;1978;1977-5-15;Alta
173025;28;1978;1977-4-01;Baja
173026;31;1978;1977-5-15;Alta
173028;33;1978;1977-5-15;Alta
173029;34;1978;1977-5-15;Alta
173030;35;1978;1977-5-15;Alta
173036;42;1978;1977-5-15;Alta
173045;52;1978;1977-5-15;Alta
173056;64;1978;1977-5-15;Alta
173070;88;1978;1977-5-15;Alta
173081;104;1978;1977-5-15;Alta
173091;119;1978;1977-5-15;Alta
173096;126;1978;1977-4-01;Baja
173111;144;1978;1977-5-15;Alta
173135;183;1978;1977-5-15;Alta
173142;194;1978;1977-5-15;Alta
173150;207;1978;1977-5-15;Alta
173159;225;1978;1977-5-15;Alta
173164;232;1978;1977-5-15;Alta
173167;236;1978;1977-5-15;Alta
173168;237;1978;1977-5-15;Alta
173185;257;1978;1977-4-01;Baja
173190;263;1978;1977-5-15;Alta
173191;264;1978;1977-5-15;Alta
173208;285;1978;1977-5-15;Alta
173209;286;1978;1977-5-15;Alta
173224;308;1978;1977-5-15;Alta
173227;311;1978;1977-5-15;Alta
173228;312;1978;1977-5-15;Alta
173258;353;1978;1977-4-01;Baja
173264;369;1978;1977-4-01;Baja
173432;620;1978;1977-4-01;Baja
173512;1;1979;1978-5-15;Alta
173513;2;1979;1978-5-15;Alta
173529;21;1979;1978-5-15;Alta
173536;28;1979;1978-4-01;Baja
173537;31;1979;1978-4-01;Baja
173539;33;1979;1978-4-01;Baja
173540;34;1979;1978-4-01;Baja
173541;35;1979;1978-4-01;Baja
173547;42;1979;1978-5-15;Alta
173556;52;1979;1978-4-01;Baja
173567;64;1979;1978-5-15;Alta
173581;88;1979;1978-5-15;Alta
173592;104;1979;1978-4-01;Baja
173602;119;1979;1978-5-15;Alta
173607;126;1979;1978-4-01;Baja
173622;144;1979;1978-5-15;Alta
173625;150;1979;1978-5-15;Alta
173644;181;1979;1978-5-15;Alta
173646;183;1979;1978-5-15;Alta
173653;194;1979;1978-5-15;Alta
173661;207;1979;1978-5-15;Alta
173670;225;1979;1978-5-15;Alta
173675;232;1979;1978-4-01;Baja
173678;236;1979;1978-5-15;Alta
173679;237;1979;1978-5-15;Alta
173696;257;1979;1978-4-01;Baja
173701;263;1979;1978-5-15;Alta
173702;264;1979;1978-5-15;Alta
173719;285;1979;1978-5-15;Alta
173720;286;1979;1978-5-15;Alta
173735;308;1979;1978-5-15;Alta
173738;311;1979;1978-5-15;Alta
173739;312;1979;1978-5-15;Alta
173769;353;1979;1978-4-01;Baja
173775;369;1979;1978-4-01;Baja
173778;372;1979;1978-5-15;Alta
173943;620;1979;1978-4-01;Baja
174023;1;1980;1979-5-15;Alta
174024;2;1980;1979-5-15;Alta
174040;21;1980;1979-4-01;Baja
174047;28;1980;1979-4-01;Baja
174048;31;1980;1979-4-01;Baja
174050;33;1980;1979-4-01;Baja
174051;34;1980;1979-4-01;Baja
174052;35;1980;1979-5-15;Alta
174053;36;1980;1979-5-15;Alta
174058;42;1980;1979-5-15;Alta
174067;52;1980;1979-4-01;Baja
174078;64;1980;1979-5-15;Alta
174092;88;1980;1979-5-15;Alta
174103;104;1980;1979-4-01;Baja
174113;119;1980;1979-5-15;Alta
174118;126;1980;1979-4-01;Baja
174133;144;1980;1979-5-15;Alta
174136;150;1980;1979-5-15;Alta
174155;181;1980;1979-4-01;Baja
174157;183;1980;1979-5-15;Alta
174164;194;1980;1979-5-15;Alta
174172;207;1980;1979-5-15;Alta
174181;225;1980;1979-5-15;Alta
174186;232;1980;1979-4-01;Baja
174189;236;1980;1979-5-15;Alta
174190;237;1980;1979-5-15;Alta
174207;257;1980;1979-4-01;Baja
174212;263;1980;1979-5-15;Alta
174213;264;1980;1979-5-15;Alta
174230;285;1980;1979-5-15;Alta
174231;286;1980;1979-5-15;Alta
174238;296;1980;1979-5-15;Alta
174246;308;1980;1979-5-15;Alta
174249;311;1980;1979-5-15;Alta
174250;312;1980;1979-5-15;Alta
174280;353;1980;1979-4-01;Baja
174286;369;1980;1979-4-01;Baja
174289;372;1980;1979-5-15;Alta
174454;620;1980;1979-4-01;Baja
174534;1;1981;1980-5-15;Alta
174535;2;1981;1980-5-15;Alta
174551;21;1981;1980-5-15;Alta
174558;28;1981;1980-4-01;Baja
174559;31;1981;1980-4-01;Baja
174560;32;1981;1980-5-15;Alta
174561;33;1981;1980-4-01;Baja
174562;34;1981;1980-4-01;Baja
174563;35;1981;1980-5-15;Alta
174564;36;1981;1980-5-15;Alta
174569;42;1981;1980-5-15;Alta
174578;52;1981;1980-4-01;Baja
174589;64;1981;1980-5-15;Alta
174603;88;1981;1980-5-15;Alta
174614;104;1981;1980-4-01;Baja
174624;119;1981;1980-5-15;Alta
174629;126;1981;1980-4-01;Baja
174644;144;1981;1980-5-15;Alta
174647;150;1981;1980-5-15;Alta
174666;181;1981;1980-4-01;Baja
174668;183;1981;1980-5-15;Alta
174675;194;1981;1980-5-15;Alta
174683;207;1981;1980-5-15;Alta
174688;216;1981;1980-5-15;Alta
174692;225;1981;1980-5-15;Alta
174697;232;1981;1980-4-01;Baja
174700;236;1981;1980-5-15;Alta
174701;237;1981;1980-5-15;Alta
174718;257;1981;1980-4-01;Baja
174723;263;1981;1980-5-15;Alta
174724;264;1981;1980-5-15;Alta
174741;285;1981;1980-5-15;Alta
174742;286;1981;1980-5-15;Alta
174749;296;1981;1980-5-15;Alta
174757;308;1981;1980-5-15;Alta
174760;311;1981;1980-4-01;Baja
174761;312;1981;1980-4-01;Baja
174791;353;1981;1980-4-01;Baja
174797;369;1981;1980-4-01;Baja
174798;370;1981;1980-5-15;Alta
174800;372;1981;1980-4-01;Baja
174810;382;1981;1980-5-15;Alta
174833;408;1981;1980-5-15;Alta
174835;411;1981;1980-5-15;Alta
174965;620;1981;1980-4-01;Baja
175045;1;1982;1981-5-15;Alta
175046;2;1982;1981-5-15;Alta
175062;21;1982;1981-5-15;Alta
175069;28;1982;1981-4-01;Baja
175070;31;1982;1981-4-01;Baja
175071;32;1982;1981-5-15;Alta
175072;33;1982;1981-4-01;Baja
175073;34;1982;1981-4-01;Baja
175074;35;1982;1981-5-15;Alta
175075;36;1982;1981-5-15;Alta
175080;42;1982;1981-5-15;Alta
175089;52;1982;1981-4-01;Baja
175100;64;1982;1981-4-01;Baja
175114;88;1982;1981-5-15;Alta
175125;104;1982;1981-4-01;Baja
175135;119;1982;1981-5-15;Alta
175138;122;1982;1981-5-15;Alta
175140;126;1982;1981-4-01;Baja
175155;144;1982;1981-5-15;Alta
175158;150;1982;1981-5-15;Alta
175159;151;1982;1981-5-15;Alta
175164;159;1982;1981-5-15;Alta
175177;181;1982;1981-4-01;Baja
175179;183;1982;1981-5-15;Alta
175186;194;1982;1981-4-01;Baja
175194;207;1982;1981-5-15;Alta
175199;216;1982;1981-5-15;Alta
175203;225;1982;1981-5-15;Alta
175208;232;1982;1981-4-01;Baja
175211;236;1982;1981-5-15;Alta
175212;237;1982;1981-5-15;Alta
175229;257;1982;1981-4-01;Baja
175234;263;1982;1981-4-01;Baja
175235;264;1982;1981-5-15;Alta
175252;285;1982;1981-5-15;Alta
175253;286;1982;1981-5-15;Alta
175260;296;1982;1981-5-15;Alta
175261;297;1982;1981-5-15;Alta
175268;308;1982;1981-5-15;Alta
175271;311;1982;1981-5-15;Alta
175272;312;1982;1981-5-15;Alta
175302;353;1982;1981-4-01;Baja
175308;369;1982;1981-4-01;Baja
175309;370;1982;1981-5-15;Alta
175311;372;1982;1981-4-01;Baja
175321;382;1982;1981-5-15;Alta
175344;408;1982;1981-5-15;Alta
175346;411;1982;1981-5-15;Alta
175352;419;1982;1981-5-15;Alta
175476;620;1982;1981-4-01;Baja
175556;1;1983;1982-5-15;Alta
175557;2;1983;1982-5-15;Alta
175573;21;1983;1982-5-15;Alta
175580;28;1983;1982-4-01;Baja
175581;31;1983;1982-4-01;Baja
175582;32;1983;1982-5-15;Alta
175583;33;1983;1982-4-01;Baja
175584;34;1983;1982-4-01;Baja
175585;35;1983;1982-5-15;Alta
175586;36;1983;1982-5-15;Alta
175591;42;1983;1982-5-15;Alta
175595;46;1983;1982-5-15;Alta
175600;52;1983;1982-4-01;Baja
175611;64;1983;1982-4-01;Baja
175625;88;1983;1982-5-15;Alta
175636;104;1983;1982-4-01;Baja
175646;119;1983;1982-5-15;Alta
175649;122;1983;1982-5-15;Alta
175651;126;1983;1982-4-01;Baja
175666;144;1983;1982-5-15;Alta
175669;150;1983;1982-5-15;Alta
175670;151;1983;1982-5-15;Alta
175675;159;1983;1982-5-15;Alta
175685;176;1983;1982-5-15;Alta
175688;181;1983;1982-4-01;Baja
175690;183;1983;1982-5-15;Alta
175697;194;1983;1982-4-01;Baja
175705;207;1983;1982-5-15;Alta
175710;216;1983;1982-5-15;Alta
175714;225;1983;1982-5-15;Alta
175719;232;1983;1982-4-01;Baja
175722;236;1983;1982-5-15;Alta
175723;237;1983;1982-5-15;Alta
175740;257;1983;1982-4-01;Baja
175745;263;1983;1982-4-01;Baja
175746;264;1983;1982-4-01;Baja
175763;285;1983;1982-5-15;Alta
175764;286;1983;1982-5-15;Alta
175771;296;1983;1982-5-15;Alta
175772;297;1983;1982-5-15;Alta
175779;308;1983;1982-5-15;Alta
175782;311;1983;1982-5-15;Alta
175783;312;1983;1982-5-15;Alta
175793;322;1983;1982-5-15;Alta
175813;353;1983;1982-4-01;Baja
175819;369;1983;1982-4-01;Baja
175820;370;1983;1982-5-15;Alta
175822;372;1983;1982-4-01;Baja
175832;382;1983;1982-5-15;Alta
175855;408;1983;1982-5-15;Alta
175857;411;1983;1982-5-15;Alta
175863;419;1983;1982-5-15;Alta
175987;620;1983;1982-4-01;Baja
176067;1;1984;1983-5-15;Alta
176068;2;1984;1983-5-15;Alta
176084;21;1984;1983-5-15;Alta
176091;28;1984;1983-4-01;Baja
176092;31;1984;1983-4-01;Baja
176093;32;1984;1983-5-15;Alta
176094;33;1984;1983-5-15;Alta
176095;34;1984;1983-4-01;Baja
176096;35;1984;1983-5-15;Alta
