IDCuota;Ejercicio;Comision;ConLoteria;EsBanda;EdadMin;EdadMax;NumMiembrosMin;NumMiembrosMax;Importe
MAY_LOTERIA;2027;MAY;TRUE;;0;99;1;1;104
MAY_1;2027;MAY;FALSE;;0;99;1;1;269
MAY_2;2027;MAY;FALSE;;0;99;2;2;243
MAY_3;2027;MAY;FALSE;;0;99;3;3;229
MAY_4;2027;MAY;FALSE;;0;99;4;99;214
INF_1;2027;INF;FALSE;;0;1;1;99;54
INF_2;2027;INF;FALSE;;2;3;1;99;74
INF_3;2027;INF;FALSE;;4;5;1;99;104
INF_4;2027;INF;FALSE;;6;7;1;99;134
INF_5;2027;INF;FALSE;;8;10;1;99;184
INF_11_1;2027;INF;FALSE;;11;99;1;1;217
INF_11_2;2027;INF;FALSE;;11;99;2;2;210
INF_11_3;2027;INF;FALSE;;11;99;3;3;196
INF_11_4;2027;INF;FALSE;;11;99;4;99;186
BANDA;2027;MAY;FALSE;;0;99;1;1;70
70MAY;2027;MAY;FALSE;;0;99;1;1;70
